Weight,Height,Neck,Chest,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist,Age,Abdomen
131.5,67.5,36.2,88.6,85.3,51.7,34.7,21.4,28.7,27,16.5,34,74.6
148,67.5,38.8,97.4,94.7,57.5,36,21,29.2,26.6,17,31,88.7
133.25,64.75,36.4,93.5,88.5,50.1,34.5,21.3,30.5,27.9,17.2,27,73.9
160.75,69,36.7,97.4,98.7,58.9,35.3,22.6,30.1,26.7,17.6,29,83.5
182,73.75,38.7,100.5,99.8,57.5,38.7,33.9,32.5,27.7,18.4,32,88.7
160.25,71.25,37.3,93.5,100.6,58.5,38.8,21.5,30.1,26.4,17.9,29,84.5
168,71.25,38.1,93,94.5,57.3,36.2,24.5,29,30,18.8,27,79.1
218.5,71,39.8,111.7,108.3,67.1,44.2,25.2,37.5,31.5,18.7,41,100.5
247.25,73.5,42.1,117,116.1,71.2,43.3,26.3,37.3,31.7,19.7,41,115.6
191.75,65,38.4,118.5,113.8,61.9,38.3,21.9,32,29.8,17,49,113.1
202.25,70,38.5,106.5,106.2,63.5,39.9,22.6,35.1,30.6,19,40,100.9
196.75,68.25,42.1,105.6,104.8,66,41.5,24.7,33.2,30.5,19.4,50,98.8
203,67,40.2,114.8,102.5,61.3,41.1,24.7,34.1,31,18.3,50,108.1
262.75,68.75,43.2,128.3,125.6,72.5,39.6,26.6,36.4,32.7,21.4,45,126.2
217,70,37.3,113.3,114.1,67.7,40.9,25,36.7,29.8,18.4,48,111.2
212,71.5,41.5,106.6,106,65,40.2,23,35.8,31.5,18.8,41,104.3
125.25,68,31.5,85.1,88.2,50,34.7,21,26.1,23.1,16.1,39,76
164.25,73.25,35.7,96.6,97.2,58.4,38.2,23.4,29.7,27.4,18.3,43,81.5
133.5,67.5,33.6,88.2,88.5,53.3,34.5,22.5,27.9,26.2,17.3,40,73.7
148.5,71.25,34.6,89.8,92.7,52.7,37.5,21.9,28.8,26.8,17.9,39,79.5
135.75,68.5,32.8,92.3,90.4,52,35.8,20.6,28.8,25.5,16.3,45,83.4
127.5,66.75,34,83.4,87.2,50.6,34.4,21.9,26.8,25.8,16.8,47,70.4
158.25,72.25,34.9,90.2,98.3,52.6,37.2,22.4,26,25.8,17.3,47,86.7
139.25,69,34.3,89.2,91,51.4,34.9,21,26.7,26.1,17.2,40,77.9
137.25,67.75,36.5,89.7,89.1,49.3,33.7,21.4,29.6,26,16.9,51,82
152.75,73.5,35.1,93.3,91.6,52.6,37.6,22.6,38.5,27.4,18.5,49,79.6
136.25,67.5,37.8,87.6,88.6,51.9,34.9,22.5,27.7,27.5,18.5,42,77.6
198,72,39.9,107.6,99.6,57.2,38,22,35.9,30.2,18.9,54,100
181.5,68,39.1,100,102.5,62.1,39.6,22.5,33.1,28.3,18.5,58,99.8
201.25,69.5,40.5,111.5,105.8,61.8,39.8,22.7,37.7,30.9,19.2,62,104.2
202.5,70.75,40.5,115.4,97,59.1,38,22.5,31.6,28.8,18.2,54,105.3
179.75,65.75,38.4,104.8,99.6,60.6,37.7,22.9,34.5,29.6,18.5,61,98.3
216,73.25,41.4,112.3,103.1,61.6,40.9,23.1,36.2,31.8,20.2,62,104.8
178.75,68.5,35.6,102.9,100.8,60.9,38,22.1,32.5,29.8,18.3,56,94.7
193.25,70.25,38,107.6,99.4,61,39.4,23.6,32.7,29.9,19.1,54,102.4
178,67,37.4,105.3,99.7,60.8,40.1,22.7,33.6,29,18.8,61,99.7
205.5,70,40.1,105.3,108.3,65,41.2,24.7,35.3,31.1,18.4,57,105.5
183.5,67.5,40.9,103,104.2,64.8,40.2,22.7,34.8,30.1,18.7,55,100.3
151.5,70.75,35.6,90,93.9,55,36.1,21.7,29.6,27.4,17.4,54,83.9
154.75,71.5,36.9,95.4,91.8,54.3,35.4,21.5,32.8,27.4,18.7,55,86.6
155.25,69.25,37.5,89.3,96.1,56,37.4,22.4,32.6,28.1,18.1,54,78.4
156.75,71.5,36.3,94.4,94.3,51.2,37.4,21.6,27.3,27.1,17.3,55,84.6
167.5,71.5,35.5,97.6,98.5,56.6,38.6,22.4,31.5,27.3,18.6,62,91.5
146.75,68.75,38.7,88.5,95.5,58.9,37.6,21.6,30.3,27.3,18.3,55,82.8
160.75,73.75,36.4,93.6,96.3,52.9,37.5,23.1,29.7,27.3,18.2,56,82.9
125,64,33.2,87.7,88.6,50.9,35.4,19.1,29.3,25.7,16.9,55,76
143,65.75,36.5,93.4,93,55.5,35.2,20.9,29.4,27,16.8,61,83.3
148.25,67.5,36,91.6,94.8,54.5,37,21.4,29.3,27,18.3,61,81.8
162.5,69.5,38.7,91.6,94.3,56.7,39.7,24.2,30.2,29.2,18.1,57,78.8
177.75,68.5,38.7,102,98.3,55,38.3,21.8,30.8,25.7,18.8,69,95
161.25,70.25,37.8,96.4,99.3,53.5,37.5,21.5,31.4,26.8,18.3,81,95.4
171.25,69.25,37.4,102.7,100.2,56.5,39.3,22.7,30.3,28.7,19,66,98.6
163.75,67.75,38.4,97.7,97.1,54.8,38.2,23.7,29.4,27.2,19,67,95.8
150.25,67.25,38.1,97.1,96.9,54.8,38,22,29.9,25.2,17.7,64,89
190.25,72.75,39.3,103.1,99.6,58.9,39,23,34.3,29.6,19,64,97.8
170.75,70,38.7,101.8,95,56,36.5,24.1,31.2,27.3,19.2,70,94.9
168,69.25,38.5,101.4,96.2,56.3,36.6,22,29.7,26.3,18,72,99.8
167,67.5,36.5,98.9,96.2,54.7,37.8,33.7,32.4,27.7,18.2,67,89.7
157.75,67.25,37.7,97.5,96.9,57.2,37.7,21.8,32.6,28,18.8,72,88.1
160,65.75,36.5,104.3,93.8,57.8,39.5,23.3,29.2,28.4,18.1,64,90.9
176.75,72.5,38,97.3,99.3,61,38.4,23.8,30.2,29.3,18.8,46,86
176,73,36.7,96.7,98.3,60.4,39.9,24.4,28.8,29.6,18.7,48,86.5
177,70,37.2,99.7,102.2,58.3,38.2,22.5,29.1,27.7,17.7,46,95.6
179.75,69.5,39.2,101.9,100.6,58.9,39.7,23.1,31.4,28.4,18.8,44,93.2
165.25,70.5,37.5,97.2,95.4,56.9,38.3,22.1,30.1,28.2,18.4,47,83.1
192.5,71.75,38,106.6,100.6,58.9,40.5,24.5,33.3,29.6,19.1,46,97.5
184.25,74.5,37.3,99.6,101.4,57.4,39.6,24.6,30.3,27.9,17.8,47,88.8
224.5,77.75,41.1,113.2,107.5,61.7,42.3,23.2,32.9,30.8,20.4,53,99.2
188.75,73.25,37.5,99.1,102.4,60.6,39.4,22.9,31.6,30.1,18.5,38,91.6
162.5,66.5,38.7,99.4,96.2,62.1,39.3,23.3,30.6,27.8,18.2,50,86.7
156.5,68.25,35.9,95.1,92.8,54.7,37.3,21.9,31.6,27.5,18.2,46,88.2
197,72,40,107.5,103.7,62.7,39,22.3,35.3,30.9,18.3,47,94
198.5,73.5,40.1,106.5,101.7,59,39.4,22.3,32.2,31,18.6,49,95
173.75,72,37,99.1,98.3,59.3,38.4,22.4,27.9,26.2,17,48,92
172.75,71.25,36.3,96.7,98.3,60,38.4,23.2,31,29.2,18.4,41,89.2
196.75,73.75,40.7,103.5,101.6,59.1,39.8,25.4,31,30.3,19.7,49,95.5
177,69.25,39.6,104,99.5,59.5,36.1,22,30.1,27.2,17.7,43,98.6
165.5,68.5,31.1,93.1,96.6,54.7,39,24.8,31,29.4,18.8,43,87.3
200.25,73.5,38.6,105.2,103.6,61.2,39.3,23.5,30.5,28.5,18.1,43,102.8
203.25,74.25,42,110,100.7,55.8,38.7,23.4,35.1,29.6,19.1,52,101.6
194,75.5,38.5,110.1,102.1,57.5,40,24.8,35.1,30.7,19.2,43,88.7
168.5,69.25,34.2,97.8,100.6,57.5,36.8,22.8,32.1,26,17.3,40,92.3
170.75,68.5,37.2,96.3,99.3,61.9,38,22.3,33.3,28.2,18.1,43,90.6
183.25,70,37.1,108,103,63.7,40,23.6,33.5,27.8,17.4,43,105
178.25,70,40.2,99.7,98.6,62.3,38.1,23.9,35.3,31.1,19.8,47,95
163,70.25,35.3,93.5,99.8,61.5,37.8,21.9,30.7,27.6,17.4,42,89.6
175.25,71.75,38,100.7,97.5,59.3,38.1,21.8,31.8,27.3,17.5,48,92.4
158,69.25,36.3,97,92.6,55.9,36.3,22.1,29.8,26.3,17.3,40,86.6
177.25,72.75,36.8,96,99.7,58.8,38.4,22.8,29.9,28,18.1,48,90
179,72,41,99.2,96.4,56.8,38.8,23.3,33.4,29.8,19.5,51,90
191,74,38.3,95.4,104.3,64.6,41.1,24.8,33.6,29.5,18.5,40,92.4
187.5,72.25,38,101.8,101,58.5,39.2,24.5,32.1,28.6,18,44,87.5
206.5,74.5,40.8,104.3,104.1,58.5,39.3,24.6,33.9,31.2,19.5,52,99.2
185.25,71.5,39.5,99.2,101.4,57.1,40.5,23.2,33,29.6,18.4,44,98.1
160.25,68.75,36.9,99.3,97.5,60.5,38.7,22.6,34.4,28,17.6,40,83.3
151.5,66.75,36.9,94,95.2,58.1,36.5,22.1,30.6,27.5,17.6,47,86.1
161,66.5,37.7,98.9,94,58.5,36.6,23.5,34.4,29.2,18,50,84.1
167,67,36.6,101,100,60.7,36,21.9,35.6,30.2,17.6,46,89.9
177.5,68.75,38.9,98.7,98.5,60.7,36.8,22.2,33.8,30.3,17.2,42,92.1
152.25,67.75,37.5,95.9,93.2,53.5,35.8,20.8,33.9,28.2,17.4,43,78
192.25,73.25,39.8,103.9,99.5,61.7,39,21.8,33.3,29.6,18.1,40,93.5
165.25,69.75,38.3,96.2,97.8,57.4,36.9,22.2,31.6,27.8,17.7,42,87
171.75,71.5,35.5,97.8,95.8,57,38.7,23.2,27.5,26.5,17.6,49,90.1
171.25,70.5,36.3,94.6,99.1,60.3,38.5,23,31.2,28.4,17.1,40,90.3
197,73.25,37.8,103.6,103.2,61.2,38.1,22.6,33.5,28.6,17.9,47,99.8
157,66.75,37.8,100.4,92.3,56.1,35.6,20.5,33.6,29.3,17.3,50,89.4
168.25,69.5,36.5,98.4,98.4,56,36.9,23,34,29.8,18.1,41,87.2
186,69.75,37.8,104.6,102.1,58.9,37.9,22.7,30.9,28.8,17.6,44,101.1
166.75,70.75,37,92.9,95.6,58.8,36.1,22.4,32.7,28.3,17.1,39,86.1
187.75,74,37.7,97.8,100.6,63.6,39.2,23.8,34.3,28.4,17.7,43,98.6
168.25,71.25,34.3,98.3,98.3,58.1,38.4,22.5,31.7,27.4,17.6,40,88.5
212.75,75,40.8,104.7,107.7,66.5,42.5,24.5,35.5,29.8,18.7,49,106.6
176.75,71,37.4,98.6,101.6,59.1,39.6,21.6,30.8,27.9,16.6,40,93.1
173.25,69.5,36.5,99.5,99.3,60.4,38.2,22,32,28.5,17.8,40,93
167,67.75,37.5,102.7,98.9,57.1,36.7,22.3,31.6,27.5,17.9,52,91
159.75,72.25,35.5,92.1,93.9,56.1,36.1,22.7,30.5,27.2,18.2,23,77.1
188.15,77.5,38,96.6,102.5,59.1,37.6,23.2,31.8,29.7,18.3,23,85.3
156,70.75,35.7,92.7,95.3,56.4,36.5,22,33.5,28.3,17.3,24,81.9
208.5,72.75,39.2,102,110.1,71.2,43.5,25.2,36.1,30.3,18.7,24,99.1
206.5,69.75,40.9,110.9,106.2,68.4,40.8,24.6,33.3,29.7,18.4,25,100.5
143.75,72.5,35.2,92.3,92.1,51.9,35.7,22,25.8,25.2,16.9,25,76.5
223,70.25,40.6,114.1,113.9,67.6,42.7,24.7,36,30.4,18.4,26,106.8
152.25,69,35.4,92.9,93.5,56.9,35.9,20.4,31.6,29,17.8,26,77.6
241.75,74.5,41.8,108.3,114.4,72.9,43.5,25.1,38.5,33.8,19.6,26,102.9
146,72.25,34.1,88.5,91.1,53.6,36.8,23.8,27.8,26.3,17.4,27,72.8
156.75,67.25,37.9,94,95.2,56.8,37.4,22.8,30.6,28.3,17.9,27,88.2
200.25,73.5,38.2,101.1,105,62.1,40,24.9,33.7,29.2,19.4,27,100.1
171.5,75.25,35.6,92.1,98.3,57.3,37.8,21.7,32.2,27.7,17.7,28,83.5
205.75,69,38.5,105.6,106.4,68.6,40,25.2,35.2,30.7,19.1,28,105
182.5,72.25,37,98.5,102.5,60.8,38.5,25,31.6,28,18.6,28,90.8
136.5,68.75,35.9,88.7,89.8,50.1,34.8,21.8,27,34.9,16.9,30,76.6
177.25,71.5,36.2,101.1,99.3,59.4,39,24.6,30.1,28.2,18.2,31,92.4
151.25,72.25,35,94,91.5,52.5,36.6,21,27,26.3,16.5,31,81.2
196,73,38.5,103.8,105.1,61.4,40.6,25,31.3,29.2,19.1,33,95.6
184.25,68.75,40.7,98.9,103.5,64,37.3,23.5,33.5,30.6,19.7,33,92.1
140,70.5,36,89.2,89.6,52.4,35.6,20.4,28.3,26.2,16.5,34,83.4
218.75,72,39.5,111.4,108.8,63.8,42,23.4,34,31.2,18.5,34,106
217,73.75,40.5,107.5,104.5,64.8,41.3,25.6,36.4,33.7,19.4,35,95.1
166.25,68,38.5,99.1,95.6,55.5,34.2,21.9,30.2,28.7,17.7,35,90.4
224.75,72.25,43.9,108.2,106.8,63.3,41.7,24.6,37.2,33.1,19.8,35,100.4
228.25,69.5,40.4,114.9,111.9,74.4,40.6,24,36.1,31.8,18.8,35,115.9
172.75,69.5,37.6,99.1,98.1,60.1,39.1,23.4,32.5,29.8,17.4,35,90.8
152.25,67.75,37,92.2,92.8,54.7,36.2,22.1,30.4,27.4,17.7,35,81.9
177.25,71,38.4,100.5,98.7,57.8,37.3,22.4,31,28.7,17.7,35,90.3
176.25,71.5,38.7,98.2,99.9,59.2,37.7,21.5,32.4,28.4,17.8,36,90.3
226.75,71.75,41.5,115.3,114.4,69.2,42.4,24,35.4,21,20.1,36,108.8
145.25,69.25,36,96.8,89.2,50.3,34.8,22.2,31,26.9,16.9,37,79.4
151,67,35.3,92.6,96.4,60,38.1,22,31.5,26.6,16.7,37,83.2
241.25,71.5,42.1,119.2,113.9,69.8,42.6,24.8,34.4,29.5,18.4,37,110.3
187.25,69.25,38,102.7,101.9,64.7,39.5,24.7,34.8,30.3,18.1,38,92.7
234.75,74.5,42.8,109.5,109.9,69.5,43.1,25.8,39.1,32.5,19.9,39,104.5
219.25,74.25,40,108.5,109.8,68.1,42.8,24.1,35.6,29,19,39,104.6
145.75,67.25,35.5,95.5,91.6,54.1,36.2,21.8,31.4,28.3,17.2,40,83.6
159.25,69.75,35.3,92.3,96.1,58,39.4,22.7,30,26.4,17.4,40,86.8
170.5,74.25,37.7,98.9,95.5,55.4,38.9,22.4,30.5,28.9,17.7,40,90.4
167.5,71.5,39.4,89.5,98.1,57.3,39.7,22.6,32.9,29.3,18.2,40,83.7
232.75,74.25,41.9,117.5,108.8,67.7,41.3,24.7,37.2,31.8,20,41,109.3
210.5,72,38.5,107.4,104.1,63.5,39.8,23.5,36.4,30.4,19.1,41,98.9
202.25,72.5,40.8,109.2,101.8,62.8,41.3,24.8,36.6,32.4,18.8,41,98
185,68.25,38,103.4,103.1,61.5,40.4,22.9,33.4,29.2,18.5,41,101.2
153,69.25,36.4,91.4,92.3,54.3,36.3,21.8,29.6,27.3,17.9,41,80.6
244.25,76,41.8,115.2,112.4,68.5,45,25.5,37.1,31.2,19.9,42,113.7
193.5,70.5,40.7,104.9,102.7,60.6,38.6,24.7,34,30.1,18.7,42,94.1
224.75,74.75,38.5,106.7,111.8,65.3,43.3,26,33.7,29.9,18.5,42,105.7
162.75,72.75,35.4,92.2,96.5,60.2,38.9,22.4,31.7,27.1,17.1,42,85.6
180,68.25,38.5,101.6,100.6,61.1,38.4,24.1,32.9,29.8,18.8,42,96.6
156.25,69,35.5,97.8,96.2,57.7,38.6,24,31.2,27.3,17.4,42,86
168,71.5,36.5,92,101,62.3,38,22.3,30.8,27.8,16.9,42,89.7
167.25,72.75,37.6,94,99,57.5,40,22.5,30.6,30,18.5,42,78
170.75,67.5,37.4,103.7,94.2,58.5,39,24.1,33.8,28.8,18.8,43,89.7
178.25,70.25,37.8,102.7,99.2,60.2,39.2,23.8,31.7,28.4,18.6,43,89.2
150,69.25,35.2,91.1,96.9,55.5,35.7,22,29.4,26.6,17.4,43,85.7
200.5,71.5,37.9,107.2,105.5,68.8,38.3,23.7,32.1,28.9,18.7,43,103.1
184,74,37.9,100.8,102.6,60.6,39,24,32.9,29.2,18.4,44,89.1
223,69.75,40.9,121.6,107.1,63.5,40.3,21.8,34.8,30.7,17.4,44,113.9
208.75,73,41.9,105.6,102,63.3,39.8,24.1,37.3,23.1,19.4,44,96.3
166,65.5,39.1,100.6,100.1,58.9,37.6,21.4,33.1,29.5,17.3,44,93.9
195,72.5,40.2,102.7,101.7,60.7,39.4,23.3,36.7,31.6,18.4,47,101.3
160.5,70.25,36,99.8,91.8,53,36.2,22.5,31.4,27.5,17.7,47,83.9
159.75,70.75,34.5,92.9,94,56,38.2,22.6,29,26.2,17.6,47,84.4
140.5,68,35.8,91.2,89,51.1,35,21.7,30.9,28.8,17.4,49,79.4
216.25,74.5,40.2,115.6,109,63.7,40.3,23.2,36.8,31,18.9,49,104
168.25,71.75,38.3,98.3,99.1,56.3,38.8,23,29.5,27.9,18.6,49,89.7
194.75,70.75,39,103.7,104.2,60,40.9,25.5,32.7,30,19,50,97.6
172.75,73,37.4,98.7,96.1,57.1,38.1,21.8,28.6,26.7,18,50,87.6
219,64,41.2,119.8,112.8,62.5,36.9,23.6,34.7,29.1,18.4,51,122.1
149.25,69.75,34.8,92.8,96.3,53.8,36.5,21.5,31.3,26.3,17.8,51,81.1
154.5,70,36.9,93.3,94.4,54.7,39,22.6,27.5,25.9,18.6,51,81.5
199.25,71.75,39.4,106.8,105,63.9,39.2,22.9,35.7,30.4,19.2,52,100
154.5,69.25,37.6,93.9,94.5,53.7,36.2,22,28.5,25.7,17.1,53,88.7
153.25,70.5,38.5,99,96.2,57.7,38.1,23.9,31.4,29.9,18.9,54,91.8
230,72.25,42.5,119.9,105.5,64.2,42.7,27,38.4,32,19.6,54,110.4
161.75,67.5,37.4,94.2,95.6,59.7,40.2,23.4,27.9,27,17.8,54,87.6
142.25,67.25,35.2,92.7,91.9,54.4,35.2,22.5,29.4,26.8,17,55,82.8
179.75,68.75,41.1,106.9,98.2,57.4,37.1,21.8,34.1,31.1,19.2,55,95.3
126.5,66.75,33.4,88.8,87.5,50.8,33,19.7,25.3,22,15.8,55,78.2
169.5,68.25,37.2,101.7,97.1,56.6,38.5,22.6,33.4,29.3,18.8,55,91.1
198.5,74.25,38.3,105.3,106.6,64,42.6,23.4,33.2,30,18.4,55,96.7
174.5,69.5,38.1,104,98.4,58.4,37.4,22.5,34.6,30.1,18.8,56,89.4
167.75,68.5,37.4,98.6,97,55.4,38.8,23.2,32.4,29.7,19,56,93
147.75,65.75,35.2,99.6,90.1,53,35,21.3,31.7,27.3,16.9,57,86.4
182.25,71.75,39.4,103.4,100.7,59.3,38.6,22.8,31.8,29.1,19,57,96.7
175.5,71.5,38,100.2,97.8,57.1,38.9,23.6,30.9,29.6,18,58,88.1
161.75,67.25,35.1,94.9,100.2,56.8,35.9,21,27.8,26.1,17.6,58,94.9
157.75,67.5,40.4,97.2,94,54.3,35.7,21,31.3,28.7,18.3,60,93.3
168.75,67.5,38.3,104.7,93.7,54.4,37.1,22.7,30.3,26.3,18.3,62,95.6
191.5,72.25,40.6,104,101.1,59.3,40.3,23,32.6,28.5,19,62,98.2
219.15,69.5,40.2,117.6,111.8,63.4,41.1,22.3,35.1,29.6,18.5,63,113.8
155.25,69.5,37.9,95.8,94.5,61.2,39.1,22.3,29.8,28.9,18.3,64,82.8
189.75,65.75,40.8,106.4,100.5,59.2,38.1,24,35.9,30.5,19.1,65,100.5
127.5,65.75,34.7,93,87.6,50.7,33.4,20.1,28.5,24.8,16.5,65,79.7
224.5,68.25,38.8,119.6,114.3,61.3,42.1,23.4,34.9,30.1,19.4,65,118
234.25,72,41.4,119.7,109.1,63.7,42.4,24.6,35.6,30.7,19.5,66,109
227.75,72.75,41.3,115.8,109.8,65.6,46,25.4,35.3,29.8,19.5,67,113.4
199.5,68.5,40.7,118.3,101.6,58.2,38.8,24.1,32.1,29.3,18.5,67,106.1
155.5,69.25,36.3,97.4,94.4,54.3,37.5,22.6,29.2,27.3,18.5,68,84.3
215.5,70.5,40.8,113.7,110,63.3,44,22.6,37.5,32.6,18.8,69,107.6
134.25,67,34.9,89.2,88.8,49.6,34.8,21.5,25.6,25.7,18.5,70,83.6
201,69.75,40.9,108.5,104.5,59.6,40.8,23.2,35.2,28.6,20.1,72,105
186.75,66,38.9,111.1,101.7,60.3,37.3,21.5,31.3,27.2,18,72,111.5
190.75,70.5,38.9,108.3,97.8,56,41.6,22.7,30.5,29.4,19.8,72,101.3
207.5,70,40.8,112.4,107.1,59.3,42.2,24.6,33.7,30,20.9,74,108.5
